user_count,operation,layer,unit,metric,n_total,n_success,n_numeric,success_rate,mean,median,sample_sd,p95_nearest_rank,mean_ci95_lower,mean_ci95_upper,t_critical_975,minimum,maximum
500,witness_generation,regional,ms,value,30,30,30,1.000000000,239.108130000,236.286450000,14.851879854,267.638700000,233.562353114,244.653906886,2.045227358,219.343900000,270.026700000
5000,hash_to_prime,global,ms,value,30,30,30,1.000000000,2.447550000,2.091150000,1.276639506,4.931000000,1.970845507,2.924254493,2.045227358,0.994000000,5.031200000
5000,hash_to_prime,regional,ms,value,30,30,30,1.000000000,1.926373333,1.998050000,1.050025251,5.018100000,1.534287899,2.318458768,2.045227358,0.999600000,5.060700000
5000,member_addition,global,ms,value,30,30,30,1.000000000,1.682176667,1.646750000,0.689836987,3.022100000,1.424587590,1.939765743,2.045227358,0.000000000,3.035800000
5000,member_addition,regional,ms,value,30,30,30,1.000000000,1.640160000,1.514750000,0.717899834,2.996700000,1.372092096,1.908227904,2.045227358,0.000000000,3.070900000
5000,membership_claim_json_size,two_layer,bytes,value,30,30,30,1.000000000,1922.000000000,1922.000000000,0.000000000,1922.000000000,1922.000000000,1922.000000000,2.045227358,1922.000000000,1922.000000000
5000,membership_verification,global,ms,value,30,30,30,1.000000000,1.261276667,1.007200000,0.528068884,2.480300000,1.064092725,1.458460608,2.045227358,0.000000000,2.514600000
5000,membership_verification,regional,ms,value,30,30,30,1.000000000,1.634446667,1.505850000,0.770456971,2.587600000,1.346753627,1.922139707,2.045227358,0.996900000,4.540000000
5000,public_accumulator_state_json_size,two_layer,bytes,value,30,30,30,1.000000000,462352.000000000,462352.000000000,0.000000000,462352.000000000,462352.000000000,462352.000000000,2.045227358,462352.000000000,462352.000000000
5000,revocation,global,ms,value,30,30,30,1.000000000,2046.585826667,2050.454750000,55.023570538,2127.150100000,2026.039710708,2067.131942625,2.045227358,1957.726700000,2187.013900000
5000,revocation,regional,ms,value,30,30,30,1.000000000,2071.902390000,2069.045600000,73.461350361,2226.003700000,2044.471501597,2099.333278403,2.045227358,1941.973000000,2228.136200000
5000,single_witness_refresh_after_revocation,global,ms,value,30,30,30,1.000000000,2086.472260000,2081.265900000,102.085939138,2263.727900000,2048.352786422,2124.591733578,2.045227358,1945.015100000,2305.241200000
5000,single_witness_refresh_after_revocation,regional,ms,value,30,30,30,1.000000000,2058.803866667,2061.956450000,72.664507941,2190.031800000,2031.670523781,2085.937209553,2.045227358,1936.771400000,2193.656700000
5000,two_layer_claim_generation,two_layer,ms,value,30,30,30,1.000000000,4134.600716667,4095.429500000,181.112484444,4512.237000000,4066.972279061,4202.229154272,2.045227358,3906.538000000,4635.283300000
5000,two_layer_hash_to_prime,two_layer,ms,value,30,30,30,1.000000000,4.373923333,4.173300000,1.580701651,7.006100000,3.783680296,4.964166371,2.045227358,2.001400000,8.108300000
5000,two_layer_member_addition,two_layer,ms,value,30,30,30,1.000000000,3.322336667,3.054800000,1.059900804,6.004100000,2.926563644,3.718109689,2.045227358,2.000000000,6.093000000
5000,two_layer_membership_verification,two_layer,ms,value,30,30,30,1.000000000,2.895723333,2.683950000,0.797088790,4.075100000,2.598085820,3.193360846,2.045227358,1.998400000,5.538200000
5000,two_layer_revocation,two_layer,ms,value,30,30,30,1.000000000,4118.488216667,4110.216600000,110.272611630,4284.909300000,4077.311792755,4159.664640578,2.045227358,3916.509600000,4333.006600000
5000,two_layer_single_witness_refresh_after_revocation,two_layer,ms,value,30,30,30,1.000000000,4145.276126667,4165.024650000,153.310257648,4354.125200000,4088.029199568,4202.523053765,2.045227358,3899.492300000,4491.418700000
5000,witness_generation,global,ms,value,30,30,30,1.000000000,2056.607393333,2051.870450000,78.225861923,2200.287600000,2027.397409061,2085.817377606,2.045227358,1936.352200000,2243.335000000
5000,witness_generation,regional,ms,value,30,30,30,1.000000000,2077.993323333,2054.065200000,119.637170798,2317.344500000,2033.320119466,2122.666527201,2.045227358,1939.260900000,2488.620200000
