orders,committee_size,t_sig,metric,n_total,n_success,n_numeric,success_rate,mean,median,sample_sd,p95_nearest_rank,mean_ci95_lower,mean_ci95_upper,t_critical_975,minimum,maximum
1000,3,2,plaintext_compute_sign_http_ms,30,30,30,1.000000000,41.123106667,39.948400000,6.000873624,56.132300000,38.882346132,43.363867201,2.045227358,31.823800000,56.639100000
1000,3,2,threshold_response_ms,30,30,30,1.000000000,38.457960000,38.610600000,3.683201479,44.036900000,37.082631501,39.833288499,2.045227358,31.823800000,44.254200000
1000,3,2,signature_verify_aggregate_ms,30,30,30,1.000000000,69.989883333,67.998800000,7.177706041,82.504000000,67.309686843,72.670079823,2.045227358,61.762400000,97.062800000
1000,3,2,total_ms,30,30,30,1.000000000,112.622270000,110.671600000,10.603649271,135.801800000,108.662806712,116.581733288,2.045227358,98.001000000,138.885200000
1000,3,2,request_payload_bytes,30,30,30,1.000000000,599625.100000000,599632.500000000,127.946742692,599862.000000000,599577.323954458,599672.876045541,2.045227358,599364.000000000,599901.000000000
1000,3,2,response_payload_bytes,30,30,30,1.000000000,5009807.533333333,5002505.000000000,38296.595696127,5059293.000000000,4995507.365454357,5024107.701212309,2.045227358,4927275.000000000,5061177.000000000
1000,3,2,total_payload_bytes,30,30,30,1.000000000,5609432.633333334,5602107.500000000,38312.666408692,5659194.000000000,5595126.464558366,5623738.802108302,2.045227358,5526804.000000000,5660814.000000000
1000,5,3,input_encode_ms,30,30,30,1.000000000,1.608513333,1.509850000,0.630490770,2.775800000,1.373084474,1.843942193,2.045227358,0.998300000,2.904800000
1000,5,3,plaintext_compute_sign_http_ms,30,30,30,1.000000000,53.174870000,51.479150000,6.580512039,65.605000000,50.717669166,55.632070834,2.045227358,41.838700000,66.678100000
1000,5,3,threshold_response_ms,30,30,30,1.000000000,48.632250000,47.797050000,5.210249388,58.827900000,46.686713077,50.577786923,2.045227358,40.384000000,62.949700000
1000,5,3,signature_verify_aggregate_ms,30,30,30,1.000000000,113.685713333,112.261450000,5.591763048,121.915300000,111.597717028,115.773709639,2.045227358,105.553900000,124.298600000
1000,5,3,total_ms,30,30,30,1.000000000,168.469096667,166.517550000,10.320976525,186.754300000,164.615184999,172.323008334,2.045227358,152.018700000,189.226400000
1000,5,3,request_payload_bytes,30,30,30,1.000000000,999435.000000000,999437.500000000,199.014814905,999745.000000000,999360.686729804,999509.313270196,2.045227358,999040.000000000,999745.000000000
1000,5,3,response_payload_bytes,30,30,30,1.000000000,8351645.333333333,8369625.000000000,62042.473798660,8436895.000000000,8328478.318750950,8374812.347915716,2.045227358,8189105.000000000,8437475.000000000
1000,5,3,total_payload_bytes,30,30,30,1.000000000,9351080.333333334,9369147.500000000,62063.382312141,9436515.000000000,9327905.511392426,9374255.155274242,2.045227358,9188230.000000000,9436885.000000000
1000,7,4,input_encode_ms,30,30,30,1.000000000,1.619476667,1.720450000,0.533264765,2.522000000,1.420352553,1.818600780,2.045227358,0.998200000,2.620800000
1000,7,4,plaintext_compute_sign_http_ms,30,30,30,1.000000000,68.140700000,67.098000000,7.261285382,81.106100000,65.429294506,70.852105494,2.045227358,55.009900000,87.833100000
1000,7,4,threshold_response_ms,30,30,30,1.000000000,62.730760000,61.294250000,6.908743441,76.933000000,60.150995683,65.310524317,2.045227358,53.466200000,77.898000000
1000,7,4,signature_verify_aggregate_ms,30,30,30,1.000000000,163.320010000,163.831900000,9.916931456,178.785300000,159.616971072,167.023048928,2.045227358,146.415600000,187.955100000
1000,7,4,total_ms,30,30,30,1.000000000,233.080186667,229.219000000,15.156656788,264.543800000,227.420604330,238.739769003,2.045227358,206.264400000,268.617800000
1000,7,4,request_payload_bytes,30,30,30,1.000000000,1399201.533333333,1399251.000000000,246.446991339,1399559.000000000,1399109.508617158,1399293.558049509,2.045227358,1398418.000000000,1399594.000000000
1000,7,4,response_payload_bytes,30,30,30,1.000000000,11688659.266666668,11724111.000000000,107753.157153821,11800761.000000000,11648423.621466873,11728894.911866462,2.045227358,11341659.000000000,11808433.000000000
1000,7,4,total_payload_bytes,30,30,30,1.000000000,13087860.800000001,13123351.500000000,107662.138643392,13199851.000000000,13047659.141632602,13128062.458367400,2.045227358,12740959.000000000,13207845.000000000
50,3,2,input_encode_ms,30,30,30,1.000000000,0.158963333,0.000000000,0.246998352,0.538200000,0.066732736,0.251193931,2.045227358,0.000000000,0.543300000
50,3,2,plaintext_compute_sign_http_ms,30,30,30,1.000000000,2.953503333,2.734750000,0.449017393,3.849200000,2.785837670,3.121168996,2.045227358,2.113200000,4.210600000
50,3,2,threshold_response_ms,30,30,30,1.000000000,2.687170000,2.674550000,0.394656308,3.269600000,2.539803077,2.834536923,2.045227358,2.097000000,3.849200000
50,3,2,signature_verify_aggregate_ms,30,30,30,1.000000000,4.148830000,3.885250000,0.745311071,5.404900000,3.870526583,4.427133417,2.045227358,3.145400000,6.987300000
50,3,2,total_ms,30,30,30,1.000000000,7.261296667,7.016600000,0.803914086,9.049500000,6.961110549,7.561482785,2.045227358,6.312700000,9.635400000
50,3,2,request_payload_bytes,30,30,30,1.000000000,30614.500000000,30613.500000000,29.699355618,30651.000000000,30603.410090740,30625.589909260,2.045227358,30513.000000000,30675.000000000
50,3,2,response_payload_bytes,30,30,30,1.000000000,244767.600000000,246585.000000000,6977.998728022,254589.000000000,242161.975362714,247373.224637286,2.045227358,230031.000000000,254871.000000000
50,3,2,total_payload_bytes,30,30,30,1.000000000,275382.100000000,277164.000000000,6979.092725098,285183.000000000,272776.066857949,277988.133142051,2.045227358,260637.000000000,285498.000000000
50,5,3,input_encode_ms,30,30,30,1.000000000,0.126216667,0.000000000,0.233470636,0.540100000,0.039037396,0.213395938,2.045227358,0.000000000,0.633700000
50,5,3,plaintext_compute_sign_http_ms,30,30,30,1.000000000,3.913233333,3.870650000,0.591147888,4.859100000,3.692495331,4.133971336,2.045227358,2.706900000,5.038800000
50,5,3,threshold_response_ms,30,30,30,1.000000000,3.436163333,3.557400000,0.551595469,4.357400000,3.230194430,3.642132237,2.045227358,2.124500000,4.525800000
50,5,3,signature_verify_aggregate_ms,30,30,30,1.000000000,6.909253333,6.857000000,0.803278237,8.626200000,6.609304645,7.209202022,2.045227358,5.754200000,8.786000000
50,5,3,total_ms,30,30,30,1.000000000,10.948703333,10.935350000,0.922799456,12.456300000,10.604124738,11.293281928,2.045227358,9.470900000,12.945400000
50,5,3,request_payload_bytes,30,30,30,1.000000000,51037.500000000,51035.000000000,30.021543988,51090.000000000,51026.289783760,51048.710216240,2.045227358,50965.000000000,51090.000000000
50,5,3,response_payload_bytes,30,30,30,1.000000000,410936.333333333,411455.000000000,11901.622530167,424925.000000000,406492.199406547,415380.467260120,2.045227358,378185.000000000,424935.000000000
50,5,3,total_payload_bytes,30,30,30,1.000000000,461973.833333333,462505.000000000,11886.264144637,475960.000000000,457535.434315549,466412.232351118,2.045227358,429270.000000000,475965.000000000
50,7,4,input_encode_ms,30,30,30,1.000000000,0.141133333,0.000000000,0.238048363,0.531000000,0.052244713,0.230021954,2.045227358,0.000000000,0.533400000
50,7,4,plaintext_compute_sign_http_ms,30,30,30,1.000000000,4.272953333,4.287350000,0.683734984,5.286100000,4.017642780,4.528263887,2.045227358,3.248200000,5.318100000
50,7,4,threshold_response_ms,30,30,30,1.000000000,3.888663333,3.862750000,0.652193106,4.983100000,3.645130697,4.132195970,2.045227358,2.704300000,5.145000000
50,7,4,signature_verify_aggregate_ms,30,30,30,1.000000000,9.818176667,9.689150000,1.115935308,11.253600000,9.401480040,10.234873293,2.045227358,7.879200000,13.310500000
50,7,4,total_ms,30,30,30,1.000000000,14.232263333,14.263400000,1.650026655,16.687800000,13.616133943,14.848392724,2.045227358,11.152000000,19.158800000
50,7,4,request_payload_bytes,30,30,30,1.000000000,71404.433333333,71407.000000000,64.562550976,71526.000000000,71380.325307519,71428.541359148,2.045227358,71253.000000000,71540.000000000
50,7,4,response_payload_bytes,30,30,30,1.000000000,571432.400000000,576170.000000000,21332.097771943,594965.000000000,563466.872678198,579397.927321802,2.045227358,519295.000000000,595259.000000000
50,7,4,total_payload_bytes,30,30,30,1.000000000,642836.833333333,647542.000000000,21328.704083179,666400.000000000,634872.573234326,650801.093432340,2.045227358,590702.000000000,666708.000000000
500,3,2,input_encode_ms,30,30,30,1.000000000,0.838986667,1.000000000,0.513016219,1.506600000,0.647423476,1.030549857,2.045227358,0.000000000,1.506800000
500,3,2,plaintext_compute_sign_http_ms,30,30,30,1.000000000,21.367143333,19.131550000,6.348059332,34.260500000,18.996741670,23.737544997,2.045227358,16.209900000,46.753500000
500,3,2,threshold_response_ms,30,30,30,1.000000000,18.927700000,18.706450000,2.167350856,21.708200000,18.118398794,19.737001206,2.045227358,15.996000000,25.651000000
500,3,2,signature_verify_aggregate_ms,30,30,30,1.000000000,35.303620000,35.103500000,2.238174606,39.593400000,34.467872800,36.139367200,2.045227358,31.746100000,41.588000000
500,3,2,total_ms,30,30,30,1.000000000,57.509750000,56.260350000,7.324296469,70.134200000,54.774815805,60.244684195,2.045227358,50.162300000,87.433300000
500,3,2,request_payload_bytes,30,30,30,1.000000000,300169.500000000,300171.000000000,95.979793132,300330.000000000,300133.660596266,300205.339403734,2.045227358,299928.000000000,300330.000000000
500,3,2,response_payload_bytes,30,30,30,1.000000000,2501660.600000000,2509998.000000000,31100.675106987,2532177.000000000,2490047.430027705,2513273.769972296,2.045227358,2411061.000000000,2532561.000000000
500,3,2,total_payload_bytes,30,30,30,1.000000000,2801830.100000000,2810203.500000000,31081.339441414,2832312.000000000,2790224.150075824,2813436.049924176,2.045227358,2711391.000000000,2832747.000000000
500,5,3,input_encode_ms,30,30,30,1.000000000,0.785136667,0.999250000,0.513076868,1.521600000,0.593550830,0.976722504,2.045227358,0.000000000,1.532600000
