modulus_bits,hash_to_prime_bits,user_count,run_id,seed,deployment_id,warmups_discarded,operation,layer,value,unit,latency_ms,scope,setup_included,rsa_setup_included,success,error
2048,256,100,7,2026,local-e2-production-2048,1,hash_to_prime,regional,1.003700000,ms,1.003700000,one deterministic 256-bit prime representative; prime search included; RSA setup excluded,false,false,true,
2048,256,100,7,2026,local-e2-production-2048,1,hash_to_prime,global,1.133300000,ms,1.133300000,one deterministic 256-bit prime representative; prime search included; RSA setup excluded,false,false,true,
2048,256,100,7,2026,local-e2-production-2048,1,two_layer_hash_to_prime,two_layer,2.137000000,ms,2.137000000,sum for one regional and one global representative,false,false,true,
2048,256,100,7,2026,local-e2-production-2048,1,member_addition,regional,1.997800000,ms,1.997800000,add one member to an identical n-1 active-member state,false,false,true,
2048,256,100,7,2026,local-e2-production-2048,1,member_addition,global,1.512400000,ms,1.512400000,add one member to an identical n-1 active-member state,false,false,true,
2048,256,100,7,2026,local-e2-production-2048,1,two_layer_member_addition,two_layer,3.510200000,ms,3.510200000,sum of one regional and one global member addition,false,false,true,
2048,256,100,7,2026,local-e2-production-2048,1,witness_generation,regional,59.682100000,ms,59.682100000,fresh witness for one active member,false,false,true,
2048,256,100,7,2026,local-e2-production-2048,1,witness_generation,global,48.181600000,ms,48.181600000,fresh witness for one active member,false,false,true,
2048,256,100,7,2026,local-e2-production-2048,1,two_layer_claim_generation,two_layer,107.863700000,ms,107.863700000,sum of regional and global witness generation,false,false,true,
2048,256,100,7,2026,local-e2-production-2048,1,membership_verification,regional,2.109000000,ms,2.109000000,one current regional witness,false,false,true,
2048,256,100,7,2026,local-e2-production-2048,1,membership_verification,global,1.562600000,ms,1.562600000,one current global witness,false,false,true,
2048,256,100,7,2026,local-e2-production-2048,1,two_layer_membership_verification,two_layer,3.671600000,ms,3.671600000,sum of current regional and global verification,false,false,true,
2048,256,100,7,2026,local-e2-production-2048,1,revocation,regional,49.365500000,ms,49.365500000,remove one member and recompute the regional accumulator,false,false,true,
2048,256,100,7,2026,local-e2-production-2048,1,revocation,global,46.444200000,ms,46.444200000,remove one member and recompute the global accumulator,false,false,true,
2048,256,100,7,2026,local-e2-production-2048,1,two_layer_revocation,two_layer,95.809700000,ms,95.809700000,sum of regional and global removal/recomputation,false,false,true,
2048,256,100,7,2026,local-e2-production-2048,1,single_witness_refresh_after_revocation,regional,42.952900000,ms,42.952900000,refresh one remaining member witness; not all members,false,false,true,
2048,256,100,7,2026,local-e2-production-2048,1,single_witness_refresh_after_revocation,global,43.247900000,ms,43.247900000,refresh one remaining member witness; not all members,false,false,true,
2048,256,100,7,2026,local-e2-production-2048,1,two_layer_single_witness_refresh_after_revocation,two_layer,86.200800000,ms,86.200800000,sum for one remaining member's regional and global witnesses; not all members,false,false,true,
2048,256,100,7,2026,local-e2-production-2048,1,membership_claim_json_size,two_layer,1920.000000000,bytes,,one regional+global context-bound membership claim JSON,false,false,true,
2048,256,100,7,2026,local-e2-production-2048,1,public_accumulator_state_json_size,two_layer,11550.000000000,bytes,,two public accumulator states including active prime representatives; no RSA factors,false,false,true,
2048,256,100,8,2026,local-e2-production-2048,1,hash_to_prime,regional,2.411900000,ms,2.411900000,one deterministic 256-bit prime representative; prime search included; RSA setup excluded,false,false,true,
2048,256,100,8,2026,local-e2-production-2048,1,hash_to_prime,global,1.427900000,ms,1.427900000,one deterministic 256-bit prime representative; prime search included; RSA setup excluded,false,false,true,
2048,256,100,8,2026,local-e2-production-2048,1,two_layer_hash_to_prime,two_layer,3.839800000,ms,3.839800000,sum for one regional and one global representative,false,false,true,
2048,256,100,8,2026,local-e2-production-2048,1,member_addition,regional,2.253400000,ms,2.253400000,add one member to an identical n-1 active-member state,false,false,true,
2048,256,100,8,2026,local-e2-production-2048,1,member_addition,global,1.518700000,ms,1.518700000,add one member to an identical n-1 active-member state,false,false,true,
2048,256,100,8,2026,local-e2-production-2048,1,two_layer_member_addition,two_layer,3.772100000,ms,3.772100000,sum of one regional and one global member addition,false,false,true,
2048,256,100,8,2026,local-e2-production-2048,1,witness_generation,regional,48.515300000,ms,48.515300000,fresh witness for one active member,false,false,true,
2048,256,100,8,2026,local-e2-production-2048,1,witness_generation,global,52.545900000,ms,52.545900000,fresh witness for one active member,false,false,true,
2048,256,100,8,2026,local-e2-production-2048,1,two_layer_claim_generation,two_layer,101.061200000,ms,101.061200000,sum of regional and global witness generation,false,false,true,
2048,256,100,8,2026,local-e2-production-2048,1,membership_verification,regional,1.313200000,ms,1.313200000,one current regional witness,false,false,true,
2048,256,100,8,2026,local-e2-production-2048,1,membership_verification,global,2.023400000,ms,2.023400000,one current global witness,false,false,true,
2048,256,100,8,2026,local-e2-production-2048,1,two_layer_membership_verification,two_layer,3.336600000,ms,3.336600000,sum of current regional and global verification,false,false,true,
2048,256,100,8,2026,local-e2-production-2048,1,revocation,regional,54.412400000,ms,54.412400000,remove one member and recompute the regional accumulator,false,false,true,
2048,256,100,8,2026,local-e2-production-2048,1,revocation,global,53.619000000,ms,53.619000000,remove one member and recompute the global accumulator,false,false,true,
