experiment,operation,run_id,seed,deployment_id,warmups_discarded,evaluate_or_submit,proposal_build_ms,endorsement_ms,ordering_submit_ms,event_wait_ms,total_ms,input_bytes,output_bytes,business_valid,success,error
E4,valid_regional_membership_verification,34,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,281.442200000,0.000000000,0.000000000,281.442200000,2195,82,true,true,
E4,valid_regional_membership_verification,35,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,273.858100000,0.000000000,0.000000000,273.858100000,2195,82,true,true,
E4,valid_regional_membership_verification,36,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,262.721300000,0.000000000,0.000000000,262.721300000,2195,82,true,true,
E4,valid_regional_membership_verification,37,2026,e4-20260713T113950.708594500,5,evaluate,0.735500000,274.674600000,0.000000000,0.000000000,275.410100000,2195,82,true,true,
E4,valid_regional_membership_verification,38,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,279.363800000,0.000000000,0.000000000,279.363800000,2195,82,true,true,
E4,valid_regional_membership_verification,39,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,278.893600000,0.000000000,0.000000000,278.893600000,2195,82,true,true,
E4,valid_regional_membership_verification,40,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,291.381300000,0.000000000,0.000000000,291.381300000,2195,82,true,true,
E4,valid_regional_membership_verification,41,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,270.369700000,0.000000000,0.000000000,270.369700000,2195,82,true,true,
E4,valid_regional_membership_verification,42,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,270.323000000,0.000000000,0.000000000,270.323000000,2195,82,true,true,
E4,valid_regional_membership_verification,43,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,273.977100000,0.000000000,0.000000000,273.977100000,2195,82,true,true,
E4,valid_regional_membership_verification,44,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,273.564100000,0.000000000,0.000000000,273.564100000,2195,82,true,true,
E4,valid_regional_membership_verification,45,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,267.964100000,0.000000000,0.000000000,267.964100000,2195,82,true,true,
E4,valid_regional_membership_verification,46,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,274.722400000,0.000000000,0.000000000,274.722400000,2195,82,true,true,
E4,valid_regional_membership_verification,47,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,279.057100000,0.000000000,0.000000000,279.057100000,2195,82,true,true,
E4,valid_regional_membership_verification,48,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,270.740800000,0.000000000,0.000000000,270.740800000,2195,82,true,true,
E4,valid_regional_membership_verification,49,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,263.278400000,0.000000000,0.000000000,263.278400000,2195,82,true,true,
E4,valid_regional_membership_verification,50,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,278.185100000,0.000000000,0.000000000,278.185100000,2195,82,true,true,
E4,valid_global_membership_verification,1,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,270.626400000,0.000000000,0.000000000,270.626400000,2193,78,true,true,
E4,valid_global_membership_verification,2,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,263.056400000,0.000000000,0.000000000,263.056400000,2193,78,true,true,
E4,valid_global_membership_verification,3,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,272.200800000,0.000000000,0.000000000,272.200800000,2193,78,true,true,
E4,valid_global_membership_verification,4,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,273.793600000,0.000000000,0.000000000,273.793600000,2193,78,true,true,
E4,valid_global_membership_verification,5,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,300.252800000,0.000000000,0.000000000,300.252800000,2193,78,true,true,
E4,valid_global_membership_verification,6,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,271.194100000,0.000000000,0.000000000,271.194100000,2193,78,true,true,
E4,valid_global_membership_verification,7,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,267.156400000,0.000000000,0.000000000,267.156400000,2193,78,true,true,
E4,valid_global_membership_verification,8,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,264.676500000,0.000000000,0.000000000,264.676500000,2193,78,true,true,
E4,valid_global_membership_verification,9,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,264.810200000,0.000000000,0.000000000,264.810200000,2193,78,true,true,
E4,valid_global_membership_verification,10,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,273.375100000,0.000000000,0.000000000,273.375100000,2193,78,true,true,
