variant,run_id,paired_block_id,order_position,deployment_index,deployment_id,seed,warmups_discarded_per_deployment,users,orders,matched_pairs,input_hash,semantic_hash,canonical_result_hash,local_matching_ms,preprocessing_ms,membership_ms,committee_ms,proposal_build_ms,endorsement_ms,ordering_submit_ms,event_wait_ms,finalization_ms,state_query_ms,total_ms,success,error
RETF_C,9,9,1,1,e5-d1-20260713T120859.405885700,103026,1,10,10,8,ca23ace190242f62d6c62f2b8da3e9a96a4b93108ea96ac92f16520ca8663054,0bf67b90fce1bd4813efcc5636965663f04a7f2d895472c05a2515621cd9d97f,c7561f1db52a116bcd97c4879c41a02ab5ae78020e610a6e9babfb3024b7250c,0.000000000,0.000000000,0.000000000,4.821700000,0.000000000,8.509200000,2.097500000,2043.895700000,2054.502400000,6.036700000,2065.360800000,true,
RETF_H,9,9,2,1,e5-d1-20260713T120859.405885700,103026,1,10,10,8,ca23ace190242f62d6c62f2b8da3e9a96a4b93108ea96ac92f16520ca8663054,0bf67b90fce1bd4813efcc5636965663f04a7f2d895472c05a2515621cd9d97f,c7561f1db52a116bcd97c4879c41a02ab5ae78020e610a6e9babfb3024b7250c,0.521800000,0.000000000,0.000000000,0.000000000,0.000000000,8.507000000,3.734600000,2043.955800000,2056.197400000,5.345100000,2062.064300000,true,
PP_RETF,9,9,3,1,e5-d1-20260713T120859.405885700,103026,1,10,10,8,ca23ace190242f62d6c62f2b8da3e9a96a4b93108ea96ac92f16520ca8663054,0bf67b90fce1bd4813efcc5636965663f04a7f2d895472c05a2515621cd9d97f,c7561f1db52a116bcd97c4879c41a02ab5ae78020e610a6e9babfb3024b7250c,0.000000000,0.000000000,438.358500000,5.392900000,0.000000000,294.811100000,3.160700000,2044.145200000,2342.117000000,5.964500000,2792.894900000,true,
RETF_A,9,9,4,1,e5-d1-20260713T120859.405885700,103026,1,10,10,8,ca23ace190242f62d6c62f2b8da3e9a96a4b93108ea96ac92f16520ca8663054,0bf67b90fce1bd4813efcc5636965663f04a7f2d895472c05a2515621cd9d97f,c7561f1db52a116bcd97c4879c41a02ab5ae78020e610a6e9babfb3024b7250c,0.505600000,0.000000000,438.137300000,0.000000000,0.000000000,290.739500000,3.221000000,2045.914000000,2339.874500000,5.792900000,2784.310300000,true,
Plain_RETF,9,9,5,1,e5-d1-20260713T120859.405885700,103026,1,10,10,8,ca23ace190242f62d6c62f2b8da3e9a96a4b93108ea96ac92f16520ca8663054,0bf67b90fce1bd4813efcc5636965663f04a7f2d895472c05a2515621cd9d97f,c7561f1db52a116bcd97c4879c41a02ab5ae78020e610a6e9babfb3024b7250c,0.532200000,0.000000000,0.000000000,0.000000000,0.000000000,7.953100000,2.120800000,2040.014200000,2050.088100000,5.282000000,2056.502300000,true,
Plain_RETF,10,10,1,1,e5-d1-20260713T120859.405885700,103126,1,10,10,8,223db683ad4e5c0e0b686f5f7531b25c34b359d770dd849be3e115047dfd88d8,4920506474c46b93a2580bd54de9393ef3615a1e5dc9bf32da5969f966bcab0d,954f33be45f59fd2519ff3e0f8ba1efa9b0e745463d82749c702948a9358d501,0.528300000,0.000000000,0.000000000,0.000000000,0.000000000,6.798800000,2.666200000,2040.910400000,2050.375400000,5.260700000,2056.164400000,true,
RETF_A,10,10,2,1,e5-d1-20260713T120859.405885700,103126,1,10,10,8,223db683ad4e5c0e0b686f5f7531b25c34b359d770dd849be3e115047dfd88d8,4920506474c46b93a2580bd54de9393ef3615a1e5dc9bf32da5969f966bcab0d,954f33be45f59fd2519ff3e0f8ba1efa9b0e745463d82749c702948a9358d501,0.517200000,0.000000000,486.864600000,0.000000000,0.518900000,319.189300000,4.371400000,2044.137200000,2368.216800000,6.443400000,2862.042000000,true,
PP_RETF,10,10,3,1,e5-d1-20260713T120859.405885700,103126,1,10,10,8,223db683ad4e5c0e0b686f5f7531b25c34b359d770dd849be3e115047dfd88d8,4920506474c46b93a2580bd54de9393ef3615a1e5dc9bf32da5969f966bcab0d,954f33be45f59fd2519ff3e0f8ba1efa9b0e745463d82749c702948a9358d501,0.000000000,0.537300000,477.430400000,5.423400000,0.670700000,341.745200000,3.234000000,2053.938800000,2399.588700000,6.433200000,2889.957000000,true,
RETF_C,10,10,4,1,e5-d1-20260713T120859.405885700,103126,1,10,10,8,223db683ad4e5c0e0b686f5f7531b25c34b359d770dd849be3e115047dfd88d8,4920506474c46b93a2580bd54de9393ef3615a1e5dc9bf32da5969f966bcab0d,954f33be45f59fd2519ff3e0f8ba1efa9b0e745463d82749c702948a9358d501,0.000000000,0.000000000,0.000000000,7.770900000,0.000000000,10.040300000,2.655900000,2044.016400000,2056.712600000,5.991800000,2071.008300000,true,
RETF_H,10,10,5,1,e5-d1-20260713T120859.405885700,103126,1,10,10,8,223db683ad4e5c0e0b686f5f7531b25c34b359d770dd849be3e115047dfd88d8,4920506474c46b93a2580bd54de9393ef3615a1e5dc9bf32da5969f966bcab0d,954f33be45f59fd2519ff3e0f8ba1efa9b0e745463d82749c702948a9358d501,0.532500000,0.000000000,0.000000000,0.000000000,0.000000000,7.530400000,2.642700000,2047.462500000,2057.635600000,5.228100000,2063.396200000,true,
