orders,committee_size,t_priv,t_sig,run_id,seed,warmups_discarded,process_model,computation_mode,matched_pairs,input_encode_ms,sharing_ms,share_transfer_ms,reconstruction_ms,secure_sort_ms,plaintext_compute_sign_http_ms,threshold_response_ms,signature_verify_aggregate_ms,total_ms,request_payload_bytes,response_payload_bytes,total_payload_bytes,application_rounds,success,error
500,3,not_applicable_plaintext,2,26,3502052,5,independent_os_processes,committee-side plaintext comparison prototype,495,0.523700000,,,,,19.317100000,18.775000000,36.065900000,55.906700000,300189,2515893,2816082,1,true,
500,3,not_applicable_plaintext,2,27,3502053,5,independent_os_processes,committee-side plaintext comparison prototype,493,0.000000000,,,,,18.534300000,18.008100000,35.283200000,53.817500000,300153,2505501,2805654,1,true,
500,3,not_applicable_plaintext,2,28,3502054,5,independent_os_processes,committee-side plaintext comparison prototype,499,1.506800000,,,,,33.016800000,19.173100000,32.127500000,66.651100000,300135,2532177,2832312,1,true,
500,3,not_applicable_plaintext,2,29,3502055,5,independent_os_processes,committee-side plaintext comparison prototype,494,1.506600000,,,,,17.962800000,16.905600000,37.008800000,56.478200000,300330,2512641,2812971,1,true,
500,3,not_applicable_plaintext,2,30,3502056,5,independent_os_processes,committee-side plaintext comparison prototype,492,1.499600000,,,,,34.260500000,19.639700000,34.374100000,70.134200000,300174,2504433,2804607,1,true,
1000,3,not_applicable_plaintext,2,1,4002027,5,independent_os_processes,committee-side plaintext comparison prototype,983,0.999300000,,,,,56.639100000,39.606000000,78.163400000,135.801800000,599862,4998819,5598681,1,true,
1000,3,not_applicable_plaintext,2,2,4002028,5,independent_os_processes,committee-side plaintext comparison prototype,976,1.006900000,,,,,44.613300000,43.542700000,78.850100000,124.470300000,599745,4969845,5569590,1,true,
1000,3,not_applicable_plaintext,2,3,4002029,5,independent_os_processes,committee-side plaintext comparison prototype,980,0.999200000,,,,,39.515400000,37.873300000,68.596900000,109.111500000,599697,4985865,5585562,1,true,
1000,3,not_applicable_plaintext,2,4,4002030,5,independent_os_processes,committee-side plaintext comparison prototype,998,2.511900000,,,,,39.275500000,38.612200000,65.426000000,107.213400000,599901,5059293,5659194,1,true,
1000,3,not_applicable_plaintext,2,5,4002031,5,independent_os_processes,committee-side plaintext comparison prototype,985,2.002200000,,,,,56.132300000,43.034400000,65.983500000,124.118000000,599553,5006121,5605674,1,true,
1000,3,not_applicable_plaintext,2,6,4002032,5,independent_os_processes,committee-side plaintext comparison prototype,993,0.998600000,,,,,36.682100000,36.152700000,61.762400000,99.443100000,599550,5035809,5635359,1,true,
1000,3,not_applicable_plaintext,2,7,4002033,5,independent_os_processes,committee-side plaintext comparison prototype,982,1.114000000,,,,,31.823800000,31.823800000,67.760100000,100.697900000,599478,4992303,5591781,1,true,
1000,3,not_applicable_plaintext,2,8,4002034,5,independent_os_processes,committee-side plaintext comparison prototype,980,1.997100000,,,,,52.138400000,44.254200000,71.947800000,126.083300000,599364,4985655,5585019,1,true,
1000,3,not_applicable_plaintext,2,9,4002035,5,independent_os_processes,committee-side plaintext comparison prototype,993,1.005900000,,,,,37.394400000,35.774200000,65.756500000,104.156800000,599646,5038239,5637885,1,true,
1000,3,not_applicable_plaintext,2,10,4002036,5,independent_os_processes,committee-side plaintext comparison prototype,984,0.999000000,,,,,39.249700000,36.292800000,66.193600000,106.442300000,599466,5003055,5602521,1,true,
1000,3,not_applicable_plaintext,2,11,4002037,5,independent_os_processes,committee-side plaintext comparison prototype,998,1.507800000,,,,,45.232700000,43.113900000,71.743000000,118.483500000,599664,5058819,5658483,1,true,
1000,3,not_applicable_plaintext,2,12,4002038,5,independent_os_processes,committee-side plaintext comparison prototype,995,2.654200000,,,,,44.036900000,44.036900000,69.157900000,115.849000000,599640,5043477,5643117,1,true,
1000,3,not_applicable_plaintext,2,13,4002039,5,independent_os_processes,committee-side plaintext comparison prototype,966,1.000400000,,,,,40.074000000,39.540000000,63.178800000,104.253200000,599529,4927275,5526804,1,true,
