variant,run_id,paired_block_id,deployment_index,deployment_id,seed,order_position,total_ms,plain_total_ms,delta_ms,relative_overhead_percent,input_hash_equal,semantic_hash_equal,success
RETF_H,23,23,3,e5-d3-20260713T121337.834860900,302426,1,2062.376200000,2055.726300000,6.649900000,0.323481779,true,true,true
PP_RETF,24,24,3,e5-d3-20260713T121337.834860900,302526,2,2763.772400000,2060.898000000,702.874400000,34.105249265,true,true,true
Plain_RETF,24,24,3,e5-d3-20260713T121337.834860900,302526,4,2060.898000000,2060.898000000,0.000000000,0.000000000,true,true,true
RETF_A,24,24,3,e5-d3-20260713T121337.834860900,302526,3,2748.799600000,2060.898000000,687.901600000,33.378731019,true,true,true
RETF_C,24,24,3,e5-d3-20260713T121337.834860900,302526,5,2065.490600000,2060.898000000,4.592600000,0.222844605,true,true,true
RETF_H,24,24,3,e5-d3-20260713T121337.834860900,302526,1,2064.485800000,2060.898000000,3.587800000,0.174089159,true,true,true
PP_RETF,25,25,3,e5-d3-20260713T121337.834860900,302626,3,2762.286500000,2076.736800000,685.549700000,33.010909230,true,true,true
Plain_RETF,25,25,3,e5-d3-20260713T121337.834860900,302626,5,2076.736800000,2076.736800000,0.000000000,0.000000000,true,true,true
RETF_A,25,25,3,e5-d3-20260713T121337.834860900,302626,4,2778.240300000,2076.736800000,701.503500000,33.779124057,true,true,true
RETF_C,25,25,3,e5-d3-20260713T121337.834860900,302626,1,2068.700900000,2076.736800000,-8.035900000,-0.386948409,true,true,true
RETF_H,25,25,3,e5-d3-20260713T121337.834860900,302626,2,2058.260600000,2076.736800000,-18.476200000,-0.889674609,true,true,true
PP_RETF,26,26,3,e5-d3-20260713T121337.834860900,302726,2,2801.899900000,2078.618300000,723.281600000,34.796268271,true,true,true
Plain_RETF,26,26,3,e5-d3-20260713T121337.834860900,302726,5,2078.618300000,2078.618300000,0.000000000,0.000000000,true,true,true
RETF_A,26,26,3,e5-d3-20260713T121337.834860900,302726,1,2896.163600000,2078.618300000,817.545300000,39.331189377,true,true,true
RETF_C,26,26,3,e5-d3-20260713T121337.834860900,302726,3,2092.454300000,2078.618300000,13.836000000,0.665634475,true,true,true
