experiment,source_file,group_json,metric,n_total,n_success,n_numeric,success_rate,mean,median,sample_sd,p95_nearest_rank,mean_ci95_lower,mean_ci95_upper,t_critical_975,minimum,maximum
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""1000"",""operation"":""hash_to_prime"",""layer"":""global"",""unit"":""ms""}",value,30,30,30,1.000000000,1.900973333,1.378450000,1.165556541,4.021300000,1.465747854,2.336198812,2.045227358,0.505000000,4.583500000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""1000"",""operation"":""hash_to_prime"",""layer"":""regional"",""unit"":""ms""}",value,30,30,30,1.000000000,2.199180000,2.006200000,1.192060044,5.036100000,1.754057961,2.644302039,2.045227358,0.000000000,5.620500000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""1000"",""operation"":""member_addition"",""layer"":""global"",""unit"":""ms""}",value,30,30,30,1.000000000,1.510490000,1.358050000,0.668870112,2.986900000,1.260730074,1.760249926,2.045227358,0.505900000,3.018700000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""1000"",""operation"":""member_addition"",""layer"":""regional"",""unit"":""ms""}",value,30,30,30,1.000000000,1.650080000,1.510950000,0.559982500,2.587400000,1.440979332,1.859180668,2.045227358,0.996200000,2.775600000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""1000"",""operation"":""membership_claim_json_size"",""layer"":""two_layer"",""unit"":""bytes""}",value,30,30,30,1.000000000,1922.000000000,1922.000000000,0.000000000,1922.000000000,1922.000000000,1922.000000000,2.045227358,1922.000000000,1922.000000000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""1000"",""operation"":""membership_verification"",""layer"":""global"",""unit"":""ms""}",value,30,30,30,1.000000000,1.587236667,1.475900000,0.617328868,2.586700000,1.356722537,1.817750797,2.045227358,0.999500000,3.617200000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""1000"",""operation"":""membership_verification"",""layer"":""regional"",""unit"":""ms""}",value,30,30,30,1.000000000,1.646856667,1.735800000,0.710924099,2.849600000,1.381393542,1.912319792,2.045227358,0.000000000,3.111800000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""1000"",""operation"":""public_accumulator_state_json_size"",""layer"":""two_layer"",""unit"":""bytes""}",value,30,30,30,1.000000000,94352.000000000,94352.000000000,0.000000000,94352.000000000,94352.000000000,94352.000000000,2.045227358,94352.000000000,94352.000000000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""1000"",""operation"":""revocation"",""layer"":""global"",""unit"":""ms""}",value,30,30,30,1.000000000,422.338210000,416.478900000,20.530180769,465.877000000,414.672123074,430.004296926,2.045227358,399.902200000,482.144300000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""1000"",""operation"":""revocation"",""layer"":""regional"",""unit"":""ms""}",value,30,30,30,1.000000000,421.991706667,416.874050000,19.953396066,471.400000000,414.540994448,429.442418886,2.045227358,400.969200000,473.183400000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""1000"",""operation"":""single_witness_refresh_after_revocation"",""layer"":""global"",""unit"":""ms""}",value,30,30,30,1.000000000,425.222710000,416.870200000,28.140008144,476.129000000,414.715070006,435.730349994,2.045227358,391.833600000,512.136200000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""1000"",""operation"":""single_witness_refresh_after_revocation"",""layer"":""regional"",""unit"":""ms""}",value,30,30,30,1.000000000,420.605890000,417.443500000,28.110323689,463.067500000,410.109334351,431.102445649,2.045227358,394.471900000,552.162800000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""1000"",""operation"":""two_layer_claim_generation"",""layer"":""two_layer"",""unit"":""ms""}",value,30,30,30,1.000000000,839.448826667,833.361750000,22.399827580,877.455700000,831.084602927,847.813050406,2.045227358,810.024200000,884.448800000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""1000"",""operation"":""two_layer_hash_to_prime"",""layer"":""two_layer"",""unit"":""ms""}",value,30,30,30,1.000000000,4.100153333,4.066650000,1.382742922,7.009500000,3.583829217,4.616477449,2.045227358,2.017400000,7.029200000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""1000"",""operation"":""two_layer_member_addition"",""layer"":""two_layer"",""unit"":""ms""}",value,30,30,30,1.000000000,3.160570000,3.045500000,0.781980397,4.143700000,2.868574047,3.452565953,2.045227358,1.996100000,5.606100000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""1000"",""operation"":""two_layer_membership_verification"",""layer"":""two_layer"",""unit"":""ms""}",value,30,30,30,1.000000000,3.234093333,3.019800000,0.889858408,4.758000000,2.901815114,3.566371553,2.045227358,1.998700000,5.378000000
